,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
0,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,14:50,22,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,23763.435,-1.8694762894655264,43.29927189260253,-2.033693,43.256347
1,Urola Kosta       ,Donostialdea,Orio,Andoain,Coche conductor,20:40,22,Orio,1,2,1,Hogar de una persona,1,4,1,1,2021,25309.11,-2.1283509185629677,43.27695361800042,-2.033693,43.256347
2,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,20:00,22,Hernani,1,2,1,Hogar de una persona,2,5,1,1,2021,22911.92,-1.9777972047916292,43.303194745244134,-2.033693,43.256347
3,Debagoiena,Donostialdea,Bergara,Usurbil,Coche conductor,15:00,22,Usurbil,2,4,1,Otros hogares sin niños,2,4,1,1,2021,25997.26,-2.4236082249605553,43.10414939851402,-2.033693,43.256347
4,Donostialdea,Donostialdea,Donostia/San Sebastian,Urnieta,Coche conductor,14:00,23,Urnieta,2,2,1,Otros hogares sin niños,1,5,1,1,2021,28048.41,-2.019291521370747,43.30694582817742,-2.033693,43.256347
5,Urola Kosta       ,Donostialdea,Orio,Usurbil,Coche conductor,11:00,22,Usurbil,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25571.56,-2.1241081841034393,43.27723050378407,-2.033693,43.256347
6,Tolosaldea,Donostialdea,Villabona,Donostia/San Sebastian,Coche conductor,09:00,22,Resto Gipuzkoa,2,3,2,2 adultos con niño(s),2,5,1,1,2021,26046.81,-2.0535234387288273,43.18653996968949,-2.033693,43.256347
7,Donostialdea,Donostialdea,Pasaia,Errenteria,Autobús interurbano,14:30,22,Pasaia,1,1,1,2 adultos,2,3,1,2,2021,21906.235,-1.9232555787484242,43.3253275337113,-2.033693,43.256347
8,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Moto,09:35,21,Donostia/San Sebastian,1,1,2,Hogar de una persona,2,5,1,2,2021,25087.21,-1.975307595530578,43.319202425284914,-2.033693,43.256347
9,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,08:30,22,Donostia/San Sebastian,2,3,1,Otros hogares con niños,2,4,1,1,2021,23437.51,-1.918941935473695,43.31612331652594,-2.033693,43.256347
10,Donostialdea,Donostialdea,Donostia/San Sebastian,Lasarte-Oria,Coche conductor,07:20,22,Donostia/San Sebastian,2,3,1,Otros hogares sin niños,1,5,1,1,2021,28611.11,-1.9546272315868811,43.29289444209663,-2.033693,43.256347
11,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,05:30,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,3,1,1,2021,25010.085,-1.974009883712495,43.30405190406741,-2.033693,43.256347
12,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Coche conductor,16:15,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),2,4,1,1,2021,25976.26,-2.0202330102529107,43.2515218421453,-2.033693,43.256347
13,Donostialdea,Donostialdea,Urnieta,Hernani,Coche conductor,18:00,22,Hernani,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27605.31,-1.9948644567607143,43.24538220513184,-2.033693,43.256347
14,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,-2.4212247978985744,43.036908337988336,-2.033693,43.256347
15,Debabarrena,Donostialdea,Mutriku,Donostia/San Sebastian,Coche conductor,07:15,22,Mutriku,2,3,1,Otros hogares sin niños,2,5,1,1,2021,26437.11,-2.3850298772788694,43.30732259190784,-2.033693,43.256347
16,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,16:15,22,Hernani,1,2,1,2 adultos,2,4,1,1,2021,22265.870000000003,-1.9441732904354243,43.32170953086758,-2.033693,43.256347
17,Donostialdea,Donostialdea,Lasarte-Oria,Errenteria,Coche conductor,13:00,22,Errenteria,1,3,1,2 adultos,1,6,1,1,2021,25522.46,-2.023102672560997,43.27224433723861,-2.033693,43.256347
18,Bidasoa,Donostialdea,Irun,Donostia/San Sebastian,EUSKOTREN,07:20,22,Irun,2,3,2,2 adultos con niño(s),2,4,1,1,2021,22888.81,-1.8053791590566812,43.330689975025635,-2.033693,43.256347
